Zenith      Alcatel_1  Alcatel_2  Starec_1  Starec_2
   +0.0000    +0.0000    +0.0000    +0.0000    +0.0000
   +0.3000    +0.1230    +0.0000    +0.0036    +0.0000
   +0.6000    +0.2460    +0.0000    +0.0072    +0.0000
   +0.9000    +0.3690    +0.0000    +0.0108    +0.0000
   +1.2000    +0.4920    +0.0000    +0.0144    +0.0000
   +1.5000    +0.6150    +0.0000    +0.0180    +0.0000
   +1.8000    +0.7380    +0.0000    +0.0216    +0.0000
   +2.1000    +0.8610    +0.0000    +0.0252    +0.0000
   +2.4000    +0.9840    +0.0000    +0.0288    +0.0000
   +2.7000    +1.1070    +0.0000    +0.0324    +0.0000
   +3.0000    +1.2300    +0.0000    +0.0360    +0.0000
   +3.3000    +1.3530    +0.0000    +0.0396    +0.0000
   +3.6000    +1.4760    +0.0000    +0.0432    +0.0000
   +3.9000    +1.5990    +0.0000    +0.0468    +0.0000
   +4.2000    +1.7220    +0.0000    +0.0504    +0.0000
   +4.5000    +1.8450    +0.0000    +0.0540    +0.0000
   +4.8000    +1.9680    +0.0000    +0.0576    +0.0000
   +5.1000    +2.1538    +0.0000    +0.0524    +0.0000
   +5.4000    +2.4652    +0.0000    +0.0296    +0.0000
   +5.7000    +2.7766    +0.0000    +0.0068    +0.0000
   +6.0000    +3.0880    +0.0000    -0.0160    +0.0000
   +6.3000    +3.3994    +0.0000    -0.0388    +0.0000
   +6.6000    +3.7108    +0.0000    -0.0616    +0.0000
   +6.9000    +4.0222    +0.0000    -0.0844    +0.0000
   +7.2000    +4.3336    +0.0000    -0.1072    +0.0000
   +7.5000    +4.6450    +0.0000    -0.1300    +0.0000
   +7.8000    +4.9564    +0.0000    -0.1528    +0.0000
   +8.1000    +5.2678    +0.0000    -0.1756    +0.0000
   +8.4000    +5.5792    +0.0000    -0.1984    +0.0000
   +8.7000    +5.8906    +0.0000    -0.2212    +0.0000
   +9.0000    +6.2020    +0.0000    -0.2440    +0.0000
   +9.3000    +6.5134    +0.0000    -0.2668    +0.0000
   +9.6000    +6.8248    +0.0000    -0.2896    +0.0000
   +9.9000    +7.1362    +0.0000    -0.3124    +0.0000
  +10.2000    +7.3188    +0.0000    -0.3520    +0.0000
  +10.5000    +7.4370    +0.0000    -0.4000    +0.0000
  +10.8000    +7.5552    +0.0000    -0.4480    +0.0000
  +11.1000    +7.6734    +0.0000    -0.4960    +0.0000
  +11.4000    +7.7916    +0.0000    -0.5440    +0.0000
  +11.7000    +7.9098    +0.0000    -0.5920    +0.0000
  +12.0000    +8.0280    +0.0000    -0.6400    +0.0000
  +12.3000    +8.1462    +0.0000    -0.6880    +0.0000
  +12.6000    +8.2644    +0.0000    -0.7360    +0.0000
  +12.9000    +8.3826    +0.0000    -0.7840    +0.0000
  +13.2000    +8.5008    +0.0000    -0.8320    +0.0000
  +13.5000    +8.6190    +0.0000    -0.8800    +0.0000
  +13.8000    +8.7372    +0.0000    -0.9280    +0.0000
  +14.1000    +8.8554    +0.0000    -0.9760    +0.0000
  +14.4000    +8.9736    +0.0000    -1.0240    +0.0000
  +14.7000    +9.0918    +0.0000    -1.0720    +0.0000
  +15.0000    +9.2100    +0.0000    -1.1200    +0.0000
  +15.3000    +9.0600    +0.0000    -1.2250    +0.0000
  +15.6000    +8.9100    +0.0000    -1.3300    +0.0000
  +15.9000    +8.7600    +0.0000    -1.4350    +0.0000
  +16.2000    +8.6100    +0.0000    -1.5400    +0.0000
  +16.5000    +8.4600    +0.0000    -1.6450    +0.0000
  +16.8000    +8.3100    +0.0000    -1.7500    +0.0000
  +17.1000    +8.1600    +0.0000    -1.8550    +0.0000
  +17.4000    +8.0100    +0.0000    -1.9600    +0.0000
  +17.7000    +7.8600    +0.0000    -2.0650    +0.0000
  +18.0000    +7.7100    +0.0000    -2.1700    +0.0000
  +18.3000    +7.5600    +0.0000    -2.2750    +0.0000
  +18.6000    +7.4100    +0.0000    -2.3800    +0.0000
  +18.9000    +7.2600    +0.0000    -2.4850    +0.0000
  +19.2000    +7.1100    +0.0000    -2.5900    +0.0000
  +19.5000    +6.9600    +0.0000    -2.6950    +0.0000
  +19.8000    +6.8100    +0.0000    -2.8000    +0.0000
  +20.1000    +6.7386    +0.0000    -2.8930    +0.0000
  +20.4000    +6.8244    +0.0000    -2.9620    +0.0000
  +20.7000    +6.9102    +0.0000    -3.0310    +0.0000
  +21.0000    +6.9960    +0.0000    -3.1000    +0.0000
  +21.3000    +7.0818    +0.0000    -3.1690    +0.0000
  +21.6000    +7.1676    +0.0000    -3.2380    +0.0000
  +21.9000    +7.2534    +0.0000    -3.3070    +0.0000
  +22.2000    +7.3392    +0.0000    -3.3760    +0.0000
  +22.5000    +7.4250    +0.0000    -3.4450    +0.0000
  +22.8000    +7.5108    +0.0000    -3.5140    +0.0000
  +23.1000    +7.5966    +0.0000    -3.5830    +0.0000
  +23.4000    +7.6824    +0.0000    -3.6520    +0.0000
  +23.7000    +7.7682    +0.0000    -3.7210    +0.0000
  +24.0000    +7.8540    +0.0000    -3.7900    +0.0000
  +24.3000    +7.9398    +0.0000    -3.8590    +0.0000
  +24.6000    +8.0256    +0.0000    -3.9280    +0.0000
  +24.9000    +8.1114    +0.0000    -3.9970    +0.0000
  +25.2000    +8.2892    +0.0000    -3.9968    +0.0000
  +25.5000    +8.5130    +0.0000    -3.9620    +0.0000
  +25.8000    +8.7368    +0.0000    -3.9272    +0.0000
  +26.1000    +8.9606    +0.0000    -3.8924    +0.0000
  +26.4000    +9.1844    +0.0000    -3.8576    +0.0000
  +26.7000    +9.4082    +0.0000    -3.8228    +0.0000
  +27.0000    +9.6320    +0.0000    -3.7880    +0.0000
  +27.3000    +9.8558    +0.0000    -3.7532    +0.0000
  +27.6000   +10.0796    +0.0000    -3.7184    +0.0000
  +27.9000   +10.3034    +0.0000    -3.6836    +0.0000
  +28.2000   +10.5272    +0.0000    -3.6488    +0.0000
  +28.5000   +10.7510    +0.0000    -3.6140    +0.0000
  +28.8000   +10.9748    +0.0000    -3.5792    +0.0000
  +29.1000   +11.1986    +0.0000    -3.5444    +0.0000
  +29.4000   +11.4224    +0.0000    -3.5096    +0.0000
  +29.7000   +11.6462    +0.0000    -3.4748    +0.0000
  +30.0000   +11.8700    +0.0000    -3.4400    +0.0000
